survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,trump_support,border_wall_support,immigration_level_concern,border_asylum_performance,presidential_performance,crime_priority,immigration_restrictionism_composite,party_identification,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2015,75,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA
2015,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,85,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,21,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,45,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,45,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,54,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA
2015,55,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,62,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,82,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,72,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,89,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,44,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,67,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,65,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,63,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,46,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,53,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,47,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,58,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,22,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,41,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA
2015,43,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,32,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,37,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,62,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,36,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,82,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,53,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA
2015,55,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,90,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,19,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,52,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,42,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,65,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,61,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
