survey_year,immigration_levels_opinion,legalization_support,deportation_worry,gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,political_party
2002,1,1,NA,1,NA,3,13,1,1,9,NA,1,NA,1,3
2002,NA,1,NA,2,NA,1,11,4,1,9,1,1,NA,1,2
2002,1,1,NA,2,NA,2,29,2,1,9,1,2,2,2,3
2002,1,1,NA,1,NA,1,21,3,1,30,2,1,NA,1,2
2002,2,1,NA,2,NA,3,3,1,3,9,2,1,NA,1,NA
2002,2,1,NA,2,NA,1,NA,5,1,42,1,2,1,3,1
2002,1,1,NA,1,NA,2,24,2,1,30,1,1,NA,1,3
2002,3,0,NA,2,NA,2,NA,5,1,42,1,2,1,3,1
2002,1,1,NA,1,NA,2,4,5,1,42,1,2,3,2,NA
2002,1,1,NA,1,NA,1,13,5,1,42,1,2,3,2,2
2002,3,1,NA,1,NA,2,11,5,1,42,1,2,1,3,NA
2002,2,1,NA,1,NA,3,22,1,1,9,1,1,NA,1,1
2002,1,0,NA,2,NA,3,11,1,1,30,1,1,NA,1,3
2002,1,1,NA,2,NA,1,1,3,2,31,1,2,1,3,1
2002,NA,1,NA,1,NA,1,NA,1,1,9,2,1,NA,1,1
2002,3,1,NA,2,NA,1,4,2,1,3,2,1,NA,1,NA
2002,3,1,NA,1,NA,1,NA,4,3,42,2,1,NA,1,1
2002,1,1,NA,1,NA,1,6,1,3,31,1,2,3,2,3
2002,1,1,NA,1,NA,2,NA,1,1,42,1,1,NA,1,3
2002,3,1,NA,2,NA,1,11,1,2,9,2,1,NA,1,NA
2002,1,1,NA,2,NA,2,NA,1,3,30,2,1,NA,1,1
2002,3,0,NA,1,NA,2,19,1,3,42,1,2,2,2,3
2002,3,1,NA,2,NA,1,4,2,3,9,1,1,NA,1,2
2002,1,1,NA,1,NA,1,NA,1,1,42,2,1,NA,1,2
2002,1,1,NA,2,NA,1,21,1,1,3,1,2,1,3,1
2002,3,0,NA,2,NA,1,NA,1,3,42,1,2,2,2,NA
2002,1,1,NA,2,NA,3,23,5,1,42,1,2,1,3,3
2002,1,1,NA,1,NA,3,22,1,1,9,2,1,NA,1,2
2002,3,1,NA,2,NA,3,22,1,2,9,1,1,NA,1,2
2002,1,1,NA,1,NA,1,NA,1,3,9,1,1,NA,1,2
2002,3,1,NA,1,NA,1,6,1,3,9,2,1,NA,1,2
2002,1,1,NA,1,NA,1,6,1,3,42,2,1,NA,1,1
2002,3,1,NA,2,NA,3,12,1,1,9,2,1,NA,1,1
2002,3,0,NA,2,NA,1,21,1,2,42,1,2,1,3,1
2002,3,1,NA,1,NA,1,5,1,3,9,1,1,NA,1,2
2002,1,1,NA,1,NA,1,13,1,1,42,2,1,NA,1,2
2002,3,1,NA,2,NA,1,4,2,1,42,1,2,2,2,3
2002,1,1,NA,1,NA,3,23,1,1,42,NA,NA,NA,NA,3
2002,3,1,NA,2,NA,1,3,1,3,42,2,1,NA,1,3
2002,NA,1,NA,2,NA,3,NA,4,3,42,NA,NA,NA,NA,2
