gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
0,52,3,22,1,2,NA,1,1,3,2,3,NA,4,NA
0,36,1,5,NA,1,NA,1,1,3,2,1,NA,1,3
0,30,4,13,NA,1,NA,1,2,3,1,3,NA,3,2
0,86,1,NA,3,2,NA,NA,2,2,1,NA,NA,NA,2
1,43,1,6,1,1,NA,NA,1,1,3,3,NA,1,2
1,23,3,NA,NA,1,NA,0,2,3,1,2,NA,1,2
0,67,1,5,5,1,NA,1,1,3,2,1,NA,1,2
0,34,1,5,1,2,NA,NA,2,1,1,3,NA,4,3
1,35,4,15,1,1,NA,0,1,3,2,3,NA,2,3
1,38,1,14,1,1,NA,0,1,3,2,3,NA,1,3
1,38,1,2,2,1,NA,0,1,3,2,1,NA,1,3
1,46,3,22,1,1,NA,1,2,3,1,1,NA,2,1
0,52,2,NA,1,2,NA,1,1,3,2,NA,NA,NA,NA
